Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
कंप्यूटर किस क्रम में संचालित होता है?,"इनपुट, आउटपुट, प्रोसेस","इनपुट, प्रोसेस, आउटपुट","प्रोसेस, इनपुट, आउटपुट","आउटપપુટ, પ્રોસેસ, ઇનપુટ",2,"कंप्यूटर IPO (इनपुट-प्रोसेस-आउटपुट) चक्र का पालन करता है: डेटा प्राप्त करना, उस पर प्रक्रिया करना और परिणाम देना।"
पैरेलल पोर्ट एक बाइट को कैसे स्थानांतरित करता है?,बिट दर बिट,एक समय में 2 बिट,एक समय में 4 बिट,एक समय में 8 बिट,4,पैरेलल पोर्ट 8 अलग-अलग तारों के माध्यम से एक साथ 8 बिट (1 बाઈટ) डेटा भेज सकता है।
CPU की आंतरिक विद्युत आपूर्ति इकाई कौन सी है?,CVT,UPS,SMPS,Stabilizer,3,SMPS (Switched Mode Power Supply) कंप्यूटर के आंतरिक घटकों को आवश्यक कम वोल्टेज DC पावर प्रदान करता है।
मदरबोर्ड में विस्तार स्लॉट का उद्देश्य क्या है?,RAM डालने के लिए,माउस जोड़ने के लिए,कीबोर्ड जोड़ने के लिए,अतिरिक्त बाह्य उपकरणों को जोड़ने के लिए,4,एक्सपेंशन स्लॉट का उपयोग ग्राफिक्स कार्ड या नेटवर्क कार्ड जैसे अतिरिक्त हार्डवेयर जोड़ने के लिए किया जाता है।
बिजली के झटके की गंभीरता को कौन सा कारक प्रभावित करता है?,बहुत कम DC वोल्टेज,करंट गुजरने की अवधि,माइक्रो एम्पियर में करंट का स्तर,झटका प्राप्त करने वाला व्यक्ति,2,"शरीर से करंट जितने लंबे समय तक गुजरता है, बिजली के झटके की गंभीरता उतनी ही बढ़ जाती है।"
प्राथमिक चिकित्सा में ABC का पूर्ण रूप क्या है?,"Anyway, Breathing, Circulation","Airway, Breathing, Circulation","Anyway, Blood, Circulation","Airway, Blood, Chest",2,"ABC का अर्थ है Airway (वायुमार्ग), Breathing (श्वसन) और Circulation (रक्त परिसंचरण)।"
ALU का पूर्ण रूप क्या है?,Allowed Logic Unit,Ascii Logic Unit,Arithmetic-Logic Unit,Arithmetic Least Unit,3,ALU (Arithmetic Logic Unit) CPU का वह हिस्सा है जो सभी गणितीय और तार्किक गणनाएं करता है।
विद्युत धारा (Current) क्या है?,न्यूट्रॉन का प्रवाह,इलेक्ट्रॉनों का प्रवाह,प्रोटॉन का प्रवाह,प्रतिरोध का प्रवाह,2,किसी चालक के माध्यम से इलेक्ट्रॉनों के निरंतर प्रवाह को विद्युत धारा कहा जाता है।
आर्म लिफ्ट बैक प्रेशर विधि कौन सी है?,मुंह से मुंह विधि,मुंह से नाक विधि,नीलसन की विधि,शेफर की विधि,3,नीलसन की विधि एक प्रकार की कृत्रिम श्वसन प्रक्रिया है जिसका उपयोग आपात स्थिति में किया जाता है।
डेस्कटॉप और व्यक्तिगत कंप्यूटर को और क्या कहा जाता है?,सुपर कंप्यूटर,क्वांटम कंप्यूटर,मेनफ्रेम कंप्यूटर,माइक्रो कंप्यूटर,4,माइक्रो कंप्यूटर छोटे और कम खर्चेले कंप्यूटर होते हैं जिन्हें व्यक्तिगत उपयोग के लिए डिज़ाइन किया गया है।
SSD का पूर्ण रूप क्या है?,Signal State Drive,Solid State Drive,Single Signal Drive,Solid Signal Drive,2,Solid State Drive एक आधुनिक डेटा स्टोरेज डिवाइस है जो फ्लैश मेमोरी का उपयोग करती है।
बिजली का झटका लगने पर सबसे पहले क्या करना चाहिए?,डॉक्टर को फोन करें,दूसरों की मदद लें,इलेक्ट्रिक पावर स्विच बंद करें,एम्बुलेंस बुलाएं,3,पीड़ित को बिजली के स्रोत से अलग करने के लिए सबसे पहले बिजली की आपूर्ति बंद करनी चाहिए।
