Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
In which sequence computer operates?,"Input, output, process","Input, process, output","Process, input, output","Output, process, input",2,"Computers follow the IPO (Input-Process-Output) cycle: receiving data, processing it, and producing results."
How does parallel port transfer a byte?,Bit by bit,2 bits at a time,4 bits at a time,8 bits at a time,4,A parallel port transfers 8 bits (1 byte) simultaneously over 8 separate wires.
Which is an internal power supply unit of CPU?,CVT,UPS,SMPS,Stabilizer,3,SMPS (Switched Mode Power Supply) converts AC power from the wall outlet to the low-voltage DC power required by computer components.
What is the purpose of expansion slot in mother board?,To insert the RAM,To insert the mouse,To insert the keyboard,To insert the additional peripherals,4,"The Insert tab is used to add objects like tables, charts, and pictures in Excel."
Which factor influences the severity of electrical shock?,Very low DC voltage,Duration of current passing,Level of current in micro ampere,Person receiving the shock,2,The duration of current passing through the body significantly determines the extent of tissue damage and physical harm.
What is the full form of ABC in first aid?,"Anyway, Breathing, Circulation","Airway, Breathing, Circulation","Anyway, Blood, Circulation","Airway, Blood, Chest",2,"ABC stands for Airway, Breathing, and Circulation, the three vital steps in emergency medical response."
What is the full form of ALU?,Allowed Logic Unit,Ascii Logic Unit,Arithmetic-Logic Unit,Arithmetic Least Unit,3,"The Arithmetic Logic Unit (ALU) is the part of the CPU that performs all arithmetic (addition, subtraction) and logic operations."
What is current?,Flow of Neutrons,Flow of Electrons,Flow of Protons,Flow of Resistance,2,Electric current is defined as the flow of electrons through a conductor.
Which is an arm lift back pressure method?,Mouth to mouth method,Mouth to nose method,Nielsen's method,Schafer's method,3,Nielsen's method is an arm-lift back-pressure technique for artificial respiration.
What is a desktop and personal computer also called?,Super Computer,Quantum Computer,Mainframe Computer,Micro Computer,4,"Microcomputers are small, relatively inexpensive computers designed for individual use."
What is the full form of SSD?,Signal State Drive,Solid State Drive,Single Signal Drive,Solid Signal Drive,2,SSD (Solid State Drive) is a high-speed storage device that uses flash memory.
What is the first action to be taken incase of an electric shock?,Call to doctor,Take support to others,Switch OFF the electric power,Call to ambulance,3,The first action in electric shock is to break the circuit by switching off the power.
Which is an example for OS?,Antivirus,Windows,MS Office,Macromedia,2,Option 'Windows' is the correct answer according to the COPA curriculum standards.
Which Control Panel applet gives information about the computer?,System and security,Hardware and sound,Programs,Appearance and personalization,1,Option 'System and security' is the correct answer according to the COPA curriculum standards.
Which shortcut key is copy paste a file folder?,Ctrl+ X and Ctrl + V,Ctrl + A and Ctrl + V,Ctrl + Z and Ctrl + V,Ctrl + C and Ctrl + V,4,Option 'Ctrl + C and Ctrl + V' is the correct answer according to the COPA curriculum standards.
What is the other name for PDoS? 2.0 0.00,Brute force attack,Non-technical attack,Phlashing,Smurf attack,3,Option 'Phlashing' is the correct answer according to the COPA curriculum standards.
Where do pinned application stay in Windows OS?,Desktop,Notification Area,Title bar,Task Bar,4,Option 'Task Bar' is the correct answer according to the COPA curriculum standards.
What is the extension of Notepad file?,.fil,.dll,.doc,.txt,4,Option '.txt' is the correct answer according to the COPA curriculum standards.
What is the name of the tool in control panel is used to adjust your computer setting with voice command?,Ease of access,System and security,Appearance and personalization,Hardware and sound,1,Option 'Ease of access' is the correct answer according to the COPA curriculum standards.
Which shortcut key is used to open start menu?,Windows Logo,Ctrl,Shift,Alt,1,The Windows key is used to quickly toggle the Start menu open and closed.
What type of device is a printer?,Input Device,Output Device,Processing Device,Calculating Device,2,Option 'Output Device' is the correct answer according to the COPA curriculum standards.
What is the function of operating system?,Word processing,Calculation,Process and memory management,Drawing pictures,3,Option 'Process and memory management' is the correct answer according to the COPA curriculum standards.
In which icon deleted files and folders are found?,My Computer,Recycle Bin,Microsoft Edge,Google Chrome,2,Deleted files are moved to the Recycle Bin for potential restoration later.
Which control panel is used to change the system date?,User Account,System,Date and Time,Fonts,3,Option 'Date and Time' is the correct answer according to the COPA curriculum standards.
Which shortcut key refeshes Windows desktop?,F1,F3,F5,F7,3,F5 is used to refresh the view of the current folder or desktop in Windows.
What type of device is a scanner?,Processing Device,Internal Device,Output Device,Input Device,4,Input devices like scanners and keyboards send data into the computer system.
What type of copy is produced by printer?,Hard Copy,Soft Copy,Scan Copy,Xerox Copy,1,A hard copy refers to information printed on physical paper from a computer.
What is the standard file extension of scan image?,.exe,.doc,.bak,.jpg,4,Option '.jpg' is the correct answer according to the COPA curriculum standards.
What is the capacity of a typical DVD?,40 MB,50 MB,60 MB,4.7 GB,4,"A standard single-sided, single-layer DVD has a capacity of 4.7 GB."
What is BIOS?,Firmware,Hardware,Middleware,Software,1,BIOS is a type of firmware used to initialize hardware during the boot process.
