Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
In which sequence computer operates?,"Input, output, process","Input, process, output","Process, input, output","Output, process, input",2,
How does parallel port transfer a byte?,Bit by bit,2 bits at a time,4 bits at a time,8 bits at a time,4,
Which is an internal power supply unit of CPU?,CVT,UPS,SMPS,Stabilizer,3,
What is the purpose of expansion slot in mother board?,To insert the RAM,To insert the mouse,To insert the keyboard,To insert the additional peripherals,4,
Which factor influences the severity of electrical shock?,Very low DC voltage,Duration of current passing,Level of current in micro ampere,Person receiving the shock,2,
What is the full form of ABC in first aid?,"Anyway, Breathing, Circulation","Airway, Breathing, Circulation","Anyway, Blood, Circulation","Airway, Blood, Chest",2,
What is the full form of ALU?,Allowed Logic Unit,Ascii Logic Unit,Arithmetic-Logic Unit,Arithmetic Least Unit,3,
What is current?,Flow of Neutrons,Flow of Electrons,Flow of Protons,Flow of Resistance,2,
Which is an arm lift back pressure method?,Mouth to mouth method,Mouth to nose method,Nielsen's method,Schafer's method,3,
What is a desktop and personal computer also called?,Super Computer,Quantum Computer,Mainframe Computer,Micro Computer,4,
What is the full form of SSD?,Signal State Drive,Solid State Drive,Single Signal Drive,Solid Signal Drive,2,
What is the first action to be taken incase of an electric shock?,Call to doctor,Take support to others,Switch OFF the electric power,Call to ambulance,3,
Which is an example for OS?,Antivirus,Windows,MS Office,Macromedia,2,
Which Control Panel applet gives information about the computer?,System and security,Hardware and sound,Programs,Appearance and personalization,1,
Which shortcut key is copy paste a file folder?,Ctrl+ X and Ctrl + V,Ctrl + A and Ctrl + V,Ctrl + Z and Ctrl + V,Ctrl + C and Ctrl + V,4,
What is the other name for PDoS? 2.0 0.00,Brute force attack,Non-technical attack,Phlashing,Smurf attack,3,
Where do pinned application stay in Windows OS?,Desktop,Notification Area,Title bar,Task Bar,4,
What is the extension of Notepad file?,.fil,.dll,.doc,.txt,4,
What is the name of the tool in control panel is used to adjust your computer setting with voice command?,Ease of access,System and security,Appearance and personalization,Hardware and sound,1,
Which shortcut key is used to open start menu?,Windows Logo,Ctrl,Shift,Alt,1,
What type of device is a printer?,Input Device,Output Device,Processing Device,Calculating Device,2,
What is the function of operating system?,Word processing,Calculation,Process and memory management,Drawing pictures,3,
In which icon deleted files and folders are found?,My Computer,Recycle Bin,Microsoft Edge,Google Chrome,2,
Which control panel is used to change the system date?,User Account,System,Date and Time,Fonts,3,
Which shortcut key refeshes Windows desktop?,F1,F3,F5,F7,3,
What type of device is a scanner?,Processing Device,Internal Device,Output Device,Input Device,4,
What type of copy is produced by printer?,Hard Copy,Soft Copy,Scan Copy,Xerox Copy,1,
What is the standard file extension of scan image?,.exe,.doc,.bak,.jpg,4,
What is the capacity of a typical DVD?,40 MB,50 MB,60 MB,4.7 GB,4,
What is BIOS?,Firmware,Hardware,Middleware,Software,1,
What is the purpose of Nero Start Smart?,Format HDD,Burn CD/DVD,Format pen drive,Format CD/DVD,2,
Which system is used by Bluetooth for Broadcasting?,Satellite,Microwaves,Telephone lines,Radio waves,4,
What is the process of deleting all the data on the hard drive?,Delete,Erase,Formatting,Uninstall,3,
Which port is use to connect monitor to CPU?,PS2,Parallel port,LAN,VGA,4,
What do statistical analysis packages have much in common with?,Presentation packages,Apreadsheet packages,Design packages,Paint packages,2,
Which software interfaces the major hardware components of the computer with the OS?,BIOS,DOS,POST,CMOS,1,
Which software acts as a bridge between system software and hardware?,Management,Application,Utility,Processing,2,
Which virus infects important files of the application software?,Macro Virus,Trojan Virus,Worm Virus,Anti Virus,1,
Which DOS command deletes a directory?,RD,REMOVE,DEL,DELETE,1,
Which character represents parent directory in Linux?,.,..,~,*,2,
Which character redirects output into an existing file in Linux?,>,>=,<,<<,1,
What are the directories under the root directory are called?,dir,path,sub directories,tree,3,
Which file name matches the command DIR????T.TxT in DOS?,TIME . TXT,TEXT . TXT,TEMP . TXT,TEMPT . TxT,4,
Which is a wildcard character?,* and /,? and /,* and ?,? and @,3,
Which character represents a range of values in Linux?,( ),[ ],{ },< >,2,
Who developed the Python language?,Zim Den,Guido van Rossum,Niene Stom,Wick van Rossum,2,
Which multimedia application was developed using Python?,Matplotlib,Pandas,Tryton,TimPlayer,4,
Which character gives single-line comments in Python?,//,#,!,/*,2,
What is the data type of print (type(0xFF))?,number,hexint,hex,int,4,
Which keyword adds an alternative condition to an if statement?,else if,elseif,elif,if else,3,
To be in a job or work is ______,Employ,Skill,Knowledge,Aptitude,1,
"Information like date of birth, permanent address form a part of one’s ______ in the resume.",Career objectives,Personal details,Achievements,Qualifications,2,
A person with a growth mindset is always willing to ______,relax,"grow, change, learn",keep quiet,become rich,2,
Jobs that have become outdated in the past 5 years _____,STD booth,ola,uber,swiggy,1,
Ethics means ______,decide what is right and wrong for a human conduct,name of a city,employability skills,not relevant to society,1,
Values are ______,not punctual,Motivates our attitude and action,very costly,all have same value,2,
________ is a brief statement about purpose and principles of the Constitution.,Syllabus,Module,The Preamble,Unit,3,
Identify the improper term ______,green pollution,water pollution,air pollution,sound pollution,1,
NAPS Stands for _______,National Apprenticeship Promotion Scheme,National Appointment Promoting Scheme,Non Apprenticeship Promotion Scheme,National Advertising Promotion Scheme,1,
_______ is major changes takes place in manufacturing.,Green revolution,Industry revolution,Water revolution,Food revolution,2,
1st industrial revolution started in ______ 2.0 0.00,18th century,19th century,20th century,21st century,1,
Hard Skill ______,quick learner,time management,60 WPM typing speed,spoken English,3,
To grow yourself you must ______,know your office,know yourself,know your institute,know your country,2,
Time management ______,complete your task on time,managing time,hard skill,problem solving,1,
A resume should be ___________. 2.0 0.00,short and precise,fancy and colourful,having long and detailed information,having acronyms and abbreviation,1,
A written description of duties and responsibilities to be carried out in a job is called ___________.,CV,job description,resume,job application,2,
"After receiving interview call, what is the next step?",Send application letter,Prepare the resume,Appear at interview,Send resume,3,
Choose suitable “wh” word for the given sentence. “___________ animal do you like?”,Which,Why,Where,When,1,
Choose the correct punctuation mark after the word “Rohan” in the given sentence. “Rohan David and Ram are playing hide and,"Comma (,)",Period (_),Slash (/),Hyphen (-),1,
Choose the correct response for the given question. “How have you been”?,"Very well, And you?",Thank you_ And you?,Same to you,On vacation_ And you?,1,
Choose the correct response of the given question. “When did the accident happen”?,in the hotel,during travelling,At 10:30 last night,On the table,3,
Choose the correct tense of the verb. “I __________ music when I was child”,learn,am learning,will learn,had learnt,4,
Curriculum vitae is also known as ___________ .,circular,resume,job application form,leave application,2,
Fill in the blank with comparative adjective. “Your pencil is __________ than mine”,sharp,sharper,blunt,thick,2,
Fill in the blank with correct future tense of verb. “We ___________ to the zoo after Breakfast “,went,are going,had gone,will go,4,
Which is open source software?,Open Office,Windows 10,MacOs,Microsoft Office 365,1,
Which command remove files in Linux?,delete,rm,dm,erase,2,
What is the first option of the KDE desktop in Linux?,Preference,Application,System,System setting,2,
What is the full form of OSS?,Open System Service,Open Source Software,Open System Software,Open Synchronized Software,2,
Which software coding is freely available on the internet and open for users for further use?,Unlicensed software,Open source software,Free software,Community software,2,
What is the full form of FSF?,File Server First,Free Software File,Free Software Foundation,First Software First,3,
Which command stores the active document permanently?,Save,Send,Prepare,Save as,1,
Which bar contains the current position of the cursor in MS Word?,Layout,Title bar,Status bar,Horizontal ruler,3,
Which is a text styling feature of MS Word?,Word fill,Word art,Word colour,Word font,2,
Which document view resembles the appearance of a web browser?,Draft view,Outline view,Web layout view,Full screen reading,3,
What is the purpose of quick access toolbar?,To hold advance function,To hold special function,To hold basic function,To hold familiar and repeated function,4,
What is the purpose of gutter margin?,Added to left margin when printing,Added to right margin when printing,Added to binding side of page when printing,Added to the outside of page when printing,3,
