Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
કમ્પ્યુટર કયા ક્રમમાં કાર્ય કરે છે?,"ઇનપુટ, આઉટપુટ, પ્રોસેસ","ઇનપુટ, પ્રોસેસ, આઉટપુટ","પ્રોસેસ, ઇનપુટ, આઉટપુટ","આઉટપુટ, પ્રોસેસ, ઇનપુટ",2,"કમ્પ્યુટર IPO (ઇનપુટ-પ્રોસેસ-આઉટપુટ) ચક્રને અનુસરે છે: ડેટા પ્રાપ્ત કરવો, તેના પર પ્રક્રિયા કરવી અને પરિણામ આપવું."
પેરેલલ પોર્ટ એક બાઈટને કેવી રીતે સ્થાનાંતરિત કરે છે?,બિટ બાય બિટ,એક સમયે 2 બિટ્સ,એક સમયે 4 બિટ્સ,એક સમયે 8 બિટ્સ,4,પેરેલલ પોર્ટ 8 અલગ-અલગ વાયરો દ્વારા એકસાથે 8 બિટ્સ (1 બાઈટ) ટ્રાન્સફર કરે છે.
CPU નું આંતરિક પાવર સપ્લાય યુનિટ કયું છે?,CVT,UPS,SMPS,Stabilizer,3,SMPS (Switched Mode Power Supply) વોલ આઉટલેટમાંથી AC પાવરને કમ્પ્યુટરના ઘટકો માટે જરૂરી ઓછા વોલ્ટેજ DC પાવરમાં રૂપાંતરિત કરે છે.
મધરબોર્ડમાં એક્સપાન્સન સ્લોટનો હેતુ શું છે?,RAM દાખલ કરવા માટે,માઉસ દાખલ કરવા માટે,કીબોર્ડ દાખલ કરવા માટે,વધારાના પેરિફેરલ્સ દાખલ કરવા માટે,4,"એક્સપાન્સન સ્લોટ વપરાશકર્તાઓને ગ્રાફિક્સ કાર્ડ, સાઉન્ડ કાર્ડ અથવા નેટવર્ક કાર્ડ જેવી વધારાની હાર્ડવેર સુવિધાઓ ઉમેરવાની મંજૂરી આપે છે."
ઇલેક્ટ્રિક શોકની ગંભીરતાને કયું પરિબળ પ્રભાવિત કરે છે?,ખૂબ ઓછો DC વોલ્ટેજ,કરંટ પસાર થવાનો સમયગાળો,માઇક્રો એમ્પિયરમાં કરંટનું સ્તર,શોક મેળવનાર વ્યક્તિ,2,શરીરમાંથી પસાર થતા કરંટનો સમયગાળો પેશીઓના નુકસાન અને શારીરિક હાનિની મર્યાદા નક્કી કરે છે.
પ્રાથમિક સારવારમાં ABC નું પૂરું નામ શું છે?,"Anyway, Breathing, Circulation","Airway, Breathing, Circulation","Anyway, Blood, Circulation","Airway, Blood, Chest",2,"ABC એટલે Airway (વાયુમાર્ગ), Breathing (શ્વાસોશ્વાસ) અને Circulation (રક્ત પરિભ્રમણ), જે કટોકટીમાં ત્રણ મહત્વપૂર્ણ પગલાં છે."
ALU નું પૂરું નામ શું છે?,Allowed Logic Unit,Ascii Logic Unit,Arithmetic-Logic Unit,Arithmetic Least Unit,3,"એરિથમેટિક લોજિક યુનિટ (ALU) એ CPU નો ભાગ છે જે તમામ ગાણિતિક (સરવાળો, બાદબાકી) અને તાર્કિક કાર્યો કરે છે."
કરંટ શું છે?,ન્યુટ્રોનનો પ્રવાહ,ઇલેક્ટ્રોનનો પ્રવાહ,પ્રોટોનનો પ્રવાહ,પ્રતિરોધનો પ્રવાહ,2,ઇલેક્ટ્રિક કરંટને વાહક દ્વારા ઇલેક્ટ્રોનના પ્રવાહ તરીકે વ્યાખ્યાયિત કરવામાં આવે છે.
આર્મ લિફ્ટ બેક પ્રેશર પદ્ધતિ કઈ છે?,મોઢાથી મોઢાની પદ્ધતિ,મોઢાથી નાકની પદ્ધતિ,નીલ્સનની પદ્ધતિ,શેફરની પદ્ધતિ,3,સાચો જવાબ 'નીલ્સનની પદ્ધતિ' છે. આ COPA અભ્યાસક્રમમાં કૃત્રિમ શ્વાસોશ્વાસની એક પદ્ધતિ છે.
ડેસ્કટોપ અને પર્સનલ કમ્પ્યુટરને બીજું શું કહેવાય છે?,સુપર કમ્પ્યુટર,ક્વોન્ટમ કમ્પ્યુટર,મેઈનફ્રેમ કમ્પ્યુટર,માઈક્રો કમ્પ્યુટર,4,"માઈક્રોકોમ્પ્યુટર્સ એ નાના, પ્રમાણમાં સસ્તા કમ્પ્યુટર્સ છે જે વ્યક્તિગત ઉપયોગ માટે બનાવવામાં આવ્યા છે."
